county,tract,bg,state,pumano,stateabb,countyname
int,int,int,int,int,text,text
33,6700,1001,53,1803,WA,King
33,6900,1009,53,1803,WA,King
33,11600,3013,53,1805,WA,King
33,11600,5021,53,1805,WA,King
33,11600,5023,53,1805,WA,King
33,990100,20,53,1803,WA,King
33,26100,3007,53,2004,WA,King
33,26100,4009,53,2004,WA,King
33,26100,4027,53,2004,WA,King
33,26200,1029,53,2005,WA,King
33,26200,1065,53,2005,WA,King
33,26200,1147,53,2005,WA,King
33,29602,1019,53,2008,WA,King
33,29601,4001,53,2006,WA,King
33,29601,3008,53,2006,WA,King
33,29601,3014,53,2006,WA,King
33,12000,3019,53,1805,WA,King
33,11500,2007,53,1805,WA,King
33,11500,2009,53,1805,WA,King
33,12000,2009,53,1805,WA,King
33,12100,2005,53,1805,WA,King
33,12000,2020,53,1805,WA,King
33,12100,1023,53,1805,WA,King
33,12100,2014,53,1805,WA,King
33,20100,1006,53,2001,WA,King
33,12100,2012,53,1805,WA,King
33,12100,2006,53,1805,WA,King
33,12000,1017,53,1805,WA,King
33,1100,1021,53,1802,WA,King
33,990100,30,53,1803,WA,King
33,4100,6021,53,1802,WA,King
33,6600,2013,53,1803,WA,King
33,6700,1014,53,1803,WA,King
33,26700,1002,53,2005,WA,King
33,26700,1003,53,2005,WA,King
33,26700,3006,53,2005,WA,King
33,26801,4004,53,2005,WA,King
33,1500,2005,53,1801,WA,King
33,1500,2013,53,1801,WA,King
33,3200,6000,53,1801,WA,King
33,28500,1001,53,2005,WA,King
33,9702,4013,53,1805,WA,King
33,3200,4017,53,1801,WA,King
33,1600,2005,53,1801,WA,King
33,1500,1011,53,1801,WA,King
33,1600,2016,53,1801,WA,King
33,5600,3018,53,1803,WA,King
33,5600,4014,53,1803,WA,King
33,5600,1005,53,1803,WA,King
33,5801,4038,53,1803,WA,King
33,5700,6009,53,1803,WA,King
33,5600,5039,53,1803,WA,King
33,11600,6005,53,1805,WA,King
33,5802,1000,53,1803,WA,King
33,5802,1008,53,1803,WA,King
33,5700,5009,53,1803,WA,King
33,5802,2005,53,1803,WA,King
33,10300,1006,53,1804,WA,King
33,10300,2006,53,1804,WA,King
33,11101,4002,53,1804,WA,King
33,10100,1028,53,1804,WA,King
33,10200,1002,53,1804,WA,King
33,10200,4022,53,1804,WA,King
33,10200,3005,53,1804,WA,King
33,29602,3017,53,2008,WA,King
33,4200,5021,53,1802,WA,King
33,800,2010,53,1802,WA,King
33,900,1011,53,1802,WA,King
33,2400,2002,53,1802,WA,King
33,3900,1013,53,1802,WA,King
33,4200,1018,53,1802,WA,King
33,2200,4014,53,1802,WA,King
33,9300,2030,53,1805,WA,King
33,3000,1001,53,1801,WA,King
33,5801,4013,53,1803,WA,King
33,28600,3002,53,2005,WA,King
33,28801,3002,53,2005,WA,King
33,28802,4005,53,2005,WA,King
33,29003,2016,53,2007,WA,King
33,11200,2026,53,1805,WA,King
33,29403,1019,53,2006,WA,King
33,29403,3001,53,2006,WA,King
33,29205,1007,53,2006,WA,King
33,29502,3002,53,2006,WA,King
33,29802,2016,53,2006,WA,King
33,29802,2004,53,2006,WA,King
33,29601,5003,53,2006,WA,King
33,29601,2005,53,2006,WA,King
33,10100,1016,53,1804,WA,King
33,29406,2030,53,2006,WA,King
33,26802,1009,53,2005,WA,King
33,26801,1010,53,2005,WA,King
33,27500,1001,53,2005,WA,King
33,26802,4009,53,2005,WA,King
33,29307,1009,53,2006,WA,King
33,20800,1001,53,2001,WA,King
33,29206,3023,53,2006,WA,King
33,29203,1012,53,2006,WA,King
33,29700,3007,53,2006,WA,King
33,29700,3062,53,2006,WA,King
33,29203,1068,53,2006,WA,King
33,29203,1017,53,2006,WA,King
33,29203,1041,53,2006,WA,King
33,29203,2002,53,2006,WA,King
33,29700,3003,53,2006,WA,King
33,29203,1079,53,2006,WA,King
33,29700,3017,53,2006,WA,King
33,29700,3022,53,2006,WA,King
33,29700,4010,53,2006,WA,King
33,1600,2020,53,1801,WA,King
33,1600,2002,53,1801,WA,King
33,5801,3004,53,1803,WA,King
33,5600,1003,53,1803,WA,King
33,12100,1003,53,1805,WA,King
33,5600,5040,53,1803,WA,King
33,5600,2006,53,1803,WA,King
33,9300,3166,53,1805,WA,King
33,9300,3165,53,1805,WA,King
33,28802,2022,53,2005,WA,King
33,28403,3016,53,2005,WA,King
33,28802,2000,53,2005,WA,King
33,10200,1043,53,1804,WA,King
33,10200,1038,53,1804,WA,King
33,10200,2013,53,1804,WA,King
33,10300,2010,53,1804,WA,King
33,10200,3009,53,1804,WA,King
33,10200,3008,53,1804,WA,King
33,29602,2010,53,2008,WA,King
33,4000,1036,53,1802,WA,King
33,26200,1070,53,2005,WA,King
33,5802,3039,53,1803,WA,King
